,top_k_accuracy,top_k_accuracy_std,ranking_correlation,ranking_correlation_std,ndcg_scores,ndcg_scores_std,priority_precision,priority_precision_std,priority_recall,priority_recall_std,priority_f1,priority_f1_std,completion_rate,completion_rate_std,reward_efficiency,reward_efficiency_std,mean_reward,reward_std,reward_cv,min_reward,max_reward
A2C,0.47368421052631565,1.1102230246251565e-16,0.0492637818785739,1.3877787807814457e-17,0.8274191198639593,1.1102230246251565e-16,0.4000000000000001,5.551115123125783e-17,0.7027027027027029,1.1102230246251565e-16,0.5098039215686274,0.0,0.7291666666666665,1.1102230246251565e-16,0.4145833333333332,1.1102230246251565e-16,39.8,0.0,0.0,39.8,39.8
DQN,0.42857142857142855,0.0,0.10983808477843485,0.0,0.8347895923506392,1.1102230246251565e-16,0.4545454545454546,5.551115123125783e-17,0.6666666666666665,1.1102230246251565e-16,0.5405405405405405,0.0,0.8205128205128206,1.1102230246251565e-16,0.4174358974358975,0.0,16.28,0.0,0.0,16.28,16.28
